Format Version,1.23,Take Name,Take 2022-07-12 04.02.52 PM,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-07-12 04.02.52.994 PM,Capture Start Frame,1871939,Total Frames in Take,8731,Total Exported Frames,8731,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
17,0.047222,-0.543464,0.504456,0.416027,-0.526396,1.832934,1.042047,1.428606,0.001176,1.836698,0.937007,1.512162,0.822072,1.847667,0.956355,1.329822,0.765808,1.962439,1.059853,1.434231,0.886857,1.695523,1.024497,1.424991,0.399891,1.827021,1.131204,1.531741,0.953246,1.828253,1.143365,1.338688,0.534364,1.836534,0.937686,1.512295,1.847906,0.956001,1.328988,1.962303,1.059445,1.434091,1.697918,1.024517,1.424828,1.826856,1.131266,1.531679,1.827286,1.143351,1.340280
18,0.050000,-0.544178,0.504592,0.415941,-0.525595,1.830939,1.042053,1.428595,0.001390,1.834566,0.936895,1.512008,0.793848,1.845834,0.956502,1.329714,0.731006,1.960435,1.059851,1.434458,0.878768,1.693535,1.024510,1.424730,0.307374,1.824858,1.131063,1.531847,0.920109,1.826406,1.143499,1.338814,0.284910,1.834590,0.937634,1.512373,1.846116,0.956276,1.328701,1.960076,1.059531,1.434398,1.696277,1.024112,1.424750,1.824867,1.130747,1.531891,1.824890,1.144249,1.341120
19,0.052778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.055556,-0.546950,0.500449,0.416054,-0.526588,1.826967,1.042005,1.428975,0.001440,1.831702,0.936431,1.511806,0.791868,1.842231,0.957109,1.329587,0.675842,1.956334,1.060809,1.434526,0.891546,1.689696,1.023380,1.425449,0.269330,1.820503,1.130406,1.532725,0.862083,1.821335,1.143892,1.339758,0.561196,1.831196,0.937046,1.512048,1.842668,0.956367,1.328617,1.956040,1.061110,1.434422,1.692551,1.023542,1.424842,1.820844,1.130083,1.532435,1.820890,1.143891,1.341456
21,0.058333,-0.548141,0.499078,0.416485,-0.526310,1.825216,1.041873,1.429039,0.001299,1.830217,0.936050,1.511536,0.853402,1.840585,0.957320,1.329376,0.723587,1.954549,1.060919,1.434565,0.883699,1.687980,1.022984,1.425543,0.332442,1.818642,1.129936,1.533070,0.907649,1.819322,1.144027,1.340146,0.593969,1.829784,0.936431,1.511645,1.840799,0.956549,1.328613,1.954196,1.061213,1.434490,1.690541,1.023448,1.424947,1.818885,1.129838,1.532809,1.818973,1.144016,1.341732
22,0.061111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.063889,-0.549649,0.497893,0.416635,-0.525742,1.821541,1.041836,1.429154,0.001270,1.826738,0.935749,1.511298,0.853402,1.837135,0.957650,1.329214,0.723587,1.950830,1.061144,1.434797,0.883699,1.684349,1.022660,1.425537,0.332442,1.814734,1.129536,1.533476,0.907649,1.815462,1.144274,1.340600,0.593969,1.826233,0.936163,1.511420,1.837336,0.956976,1.328458,1.950307,1.061484,1.434710,1.686669,1.022972,1.425105,1.815039,1.129406,1.533251,1.815056,1.144081,1.342221
24,0.066667,-0.550792,0.496633,0.417092,-0.525374,1.819598,1.041898,1.429281,0.001289,1.825021,0.935565,1.511093,0.833758,1.835286,0.958051,1.329073,0.741840,1.948856,1.061413,1.434920,0.842525,1.682437,1.022496,1.425674,0.404766,1.812692,1.129261,1.533879,0.899953,1.813295,1.144601,1.341050,0.579535,1.824554,0.935961,1.511195,1.835498,0.957387,1.328322,1.948352,1.061736,1.434968,1.684832,1.022819,1.425169,1.813097,1.129117,1.533579,1.812700,1.144484,1.342674
25,0.069444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.072222,-0.552621,0.494988,0.417543,-0.524647,1.815609,1.042076,1.429519,0.001406,1.821302,0.935387,1.510847,0.844948,1.831513,0.958725,1.328931,0.744078,1.944817,1.061895,1.435250,0.849807,1.678498,1.022341,1.425820,0.382777,1.808478,1.128945,1.534512,0.868758,1.809046,1.145162,1.341755,0.566616,1.820659,0.936083,1.511202,1.831808,0.958081,1.327954,1.944480,1.062217,1.435168,1.681016,1.022557,1.425273,1.808808,1.128581,1.534240,1.808491,1.144978,1.343489
27,0.075000,-0.553905,0.493985,0.417420,-0.524337,1.813707,1.042112,1.429610,0.001349,1.819602,0.935240,1.510683,0.746947,1.829845,0.959039,1.328829,0.698430,1.942867,1.062208,1.435448,0.881594,1.676642,1.022077,1.425799,0.353425,1.806332,1.128712,1.534808,0.859704,1.806952,1.145394,1.342091,0.542563,1.818980,0.935948,1.510979,1.830168,0.958398,1.327855,1.942433,1.062496,1.435314,1.679111,1.022441,1.425350,1.806601,1.128447,1.534602,1.806611,1.145042,1.343572
28,0.077778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.080556,-0.554701,0.493050,0.418468,-0.523539,1.809976,1.042227,1.429691,0.001224,1.815933,0.935070,1.510382,0.753082,1.826049,0.959512,1.328606,0.697477,1.939139,1.062310,1.435511,0.865415,1.672910,1.022198,1.425904,0.366206,1.802669,1.128454,1.535200,0.892525,1.803156,1.145818,1.342542,0.609875,1.815671,0.935703,1.510631,1.826430,0.959088,1.327697,1.938757,1.062032,1.435211,1.675226,1.022357,1.425696,1.802590,1.128339,1.535255,1.802180,1.145990,1.344504
30,0.083333,-0.555686,0.492988,0.418243,-0.522733,1.808255,1.042344,1.429706,0.001195,1.814131,0.935049,1.510220,0.817796,1.824561,0.959816,1.328505,0.731797,1.937396,1.062494,1.435795,0.860067,1.671208,1.022240,1.425637,0.417409,1.800706,1.128381,1.535353,0.962481,1.801529,1.146083,1.342728,0.450611,1.814038,0.935659,1.510406,1.824736,0.959550,1.327702,1.937066,1.062124,1.435622,1.673431,1.022309,1.425712,1.800547,1.128273,1.535417,1.800077,1.146385,1.344846
