,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Ball_10,Ball_10,Ball_10,Ball_10,Ball_10,Ball_10,Ball_10,Ball_10:Marker1,Ball_10:Marker1,Ball_10:Marker1,Ball_10:Marker10,Ball_10:Marker10,Ball_10:Marker10,Ball_10:Marker2,Ball_10:Marker2,Ball_10:Marker2,Ball_10:Marker3,Ball_10:Marker3,Ball_10:Marker3,Ball_10:Marker4,Ball_10:Marker4,Ball_10:Marker4,Ball_10:Marker5,Ball_10:Marker5,Ball_10:Marker5,Ball_10:Marker6,Ball_10:Marker6,Ball_10:Marker6,Ball_10:Marker7,Ball_10:Marker7,Ball_10:Marker7,Ball_10:Marker8,Ball_10:Marker8,Ball_10:Marker8,Ball_10:Marker9,Ball_10:Marker9,Ball_10:Marker9
,ID,"AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","AF7A8C7C01E911ED5F75BB645DD4DAB6","E6BB0","E6BB0","E6BB0","E6960","E6960","E6960","CB80B89D01E911ED5F75BB645DD4DAB6","CB80B89D01E911ED5F75BB645DD4DAB6","CB80B89D01E911ED5F75BB645DD4DAB6","E6AB0","E6AB0","E6AB0","E6B40","E6B40","E6B40","E6C10","E6C10","E6C10","E6A30","E6A30","E6A30","E6AA0","E6AA0","E6AA0","E6A90","E6A90","E6A90","E6A10","E6A10","E6A10"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,0.080556,-0.671848,0.422009,0.375080,0.479420,1.532699,1.104233,1.537738,1.554475,0.975578,1.579616,1.413606,1.159651,1.517955,,,,1.535787,0.998528,1.452677,1.427855,1.023328,1.562666,,,,1.524185,1.212064,1.615988,1.635498,1.186944,1.514963,1.528161,1.133935,1.409068,1.515612,1.228574,1.498060
30,0.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.086111,-0.673196,0.419519,0.375246,0.479584,1.531241,1.104286,1.537728,1.553238,0.976005,1.579689,1.412115,1.159590,1.517834,,,,1.535210,0.998877,1.452650,1.426699,1.022869,1.562234,,,,1.521790,1.211751,1.616222,1.633437,1.187764,1.515501,1.526953,1.134389,1.409094,1.513978,1.227559,1.497392
32,0.088889,-0.672982,0.418042,0.374598,0.481677,1.530038,1.104162,1.537865,1.552625,0.976153,1.579710,1.411217,1.159377,1.517665,,,,1.534613,0.999181,1.452312,1.426085,1.022642,1.562000,,,,1.520074,1.212149,1.616465,1.631981,1.186658,1.516721,1.525893,1.135273,1.409331,1.512836,1.227732,1.497489
33,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.094444,-0.674634,0.414814,0.377395,0.479970,1.528978,1.104758,1.537763,1.551257,0.976618,1.579888,1.409548,1.158916,1.517452,,,,1.534139,0.999479,1.452340,1.424770,1.022269,1.561802,,,,1.518649,1.211844,1.616187,1.630423,1.189014,1.516431,1.524552,1.135689,1.409563,1.510212,1.228234,1.497967
35,0.097222,-0.675644,0.413511,0.377093,0.479911,1.528090,1.104834,1.537975,1.550653,0.976812,1.579947,1.408445,1.159052,1.517835,,,,1.533883,0.999638,1.452352,1.424132,1.021998,1.561532,,,,1.517020,1.211955,1.616466,1.629187,1.189610,1.516911,1.524098,1.135297,1.409509,1.509532,1.227958,1.498051
36,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.102778,-0.677182,0.409914,0.377785,0.480285,1.526435,1.104975,1.538198,1.549667,0.977042,1.579921,1.406263,1.158609,1.517631,,,,1.533378,0.999978,1.452372,1.423122,1.021267,1.560986,,,,1.513682,1.212158,1.617108,1.627162,1.190407,1.517644,1.522813,1.135637,1.409719,1.507213,1.228119,1.498494
38,0.105556,-0.678007,0.408211,0.377315,0.480941,1.525552,1.104862,1.538243,1.548935,0.977276,1.579988,1.405701,1.157938,1.516956,,,,1.533067,1.000147,1.452370,1.422576,1.021028,1.560747,,,,1.512248,1.212361,1.617300,1.625914,1.190207,1.518060,1.522239,1.135784,1.409823,1.506075,1.228255,1.498601
39,0.108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.111111,-0.679417,0.404698,0.378094,0.481308,1.523797,1.105210,1.538336,1.547843,0.977590,1.580139,1.403240,1.157233,1.516512,,,,1.532099,1.001858,1.452394,1.421175,1.020548,1.560443,,,,1.508920,1.212864,1.618166,1.623712,1.191062,1.518724,1.520880,1.136131,1.410016,1.503901,1.228213,1.498648
41,0.113889,-0.680694,0.402689,0.378806,0.480628,1.523234,1.105423,1.538332,1.547368,0.977709,1.580165,1.402708,1.156846,1.516473,,,,1.531820,1.001989,1.452433,1.420650,1.020290,1.560329,,,,1.508123,1.212306,1.617631,1.622954,1.191871,1.518974,1.520257,1.136269,1.410109,1.502645,1.228325,1.498679
42,0.116667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.119444,-0.682314,0.398927,0.379374,0.481020,1.521460,1.105582,1.538557,1.546338,0.977914,1.580331,1.401019,1.156213,1.516158,,,,1.531034,1.001554,1.452313,1.419408,1.019804,1.559992,,,,1.505687,1.212194,1.617824,1.620630,1.192700,1.519820,1.518771,1.136553,1.410173,1.499934,1.229516,1.499627
44,0.122222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.127778,-0.685791,0.393539,0.380087,0.479950,1.519205,1.105757,1.538858,1.544281,0.978348,1.580734,1.398100,1.155363,1.515763,,,,1.530466,1.001449,1.452808,1.417812,1.018971,1.559535,,,,1.501675,1.212488,1.618426,1.617529,1.193958,1.520845,1.516921,1.136734,1.410396,1.496568,1.228900,1.499727
47,0.130556,-0.685316,0.393040,0.379515,0.481487,1.518300,1.105452,1.539041,1.543712,0.978433,1.580798,1.397206,1.155504,1.516086,,,,1.530379,1.001825,1.452512,1.417265,1.018643,1.559412,,,,1.500676,1.212439,1.618433,1.616119,1.192751,1.521832,1.516326,1.136769,1.410482,1.495694,1.228871,1.499784
48,0.133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.136111,-0.686681,0.389500,0.380965,0.481275,1.516658,1.105644,1.539062,1.542375,0.978702,1.581070,1.394961,1.154298,1.515331,,,,1.529440,1.002135,1.452329,1.415896,1.018195,1.559242,,,,1.497748,1.212008,1.618363,1.614399,1.193257,1.522296,1.514649,1.137578,1.410923,1.493406,1.229411,1.500134
50,0.138889,-0.687289,0.389108,0.379519,0.481864,1.515676,1.105606,1.539222,1.541825,0.978807,1.581201,1.394432,1.154450,1.515281,,,,1.528468,1.001572,1.452784,1.415178,1.017987,1.559043,,,,1.496984,1.212092,1.618252,1.613327,1.193612,1.522485,1.514059,1.137629,1.411005,1.492504,1.229387,1.500104
51,0.141667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.144444,-0.689828,0.386193,0.378403,0.481460,1.514001,1.105531,1.539333,1.540675,0.978916,1.581267,1.392863,1.153914,1.514939,,,,1.527779,1.001694,1.452933,1.414118,1.017338,1.558571,,,,1.494637,1.211955,1.618415,1.610924,1.194494,1.522974,1.513110,1.137059,1.410909,1.490665,1.228714,1.499975
53,0.147222,-0.691239,0.383467,0.380174,0.480218,1.513620,1.105998,1.539278,1.540116,0.978946,1.581354,1.391845,1.153501,1.514531,,,,1.527534,1.002023,1.453104,1.413560,1.017128,1.558448,,,,1.493275,1.211974,1.618467,1.610666,1.195789,1.522865,1.512523,1.137073,1.410986,1.489410,1.229360,1.500409
54,0.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.152778,-0.692684,0.381286,0.379510,0.480397,1.512033,1.105968,1.539452,1.538547,0.979132,1.581692,1.390286,1.152957,1.514325,,,,1.526824,1.002068,1.453297,1.412032,1.016812,1.558153,,,,1.490978,1.211669,1.618711,1.608724,1.196213,1.523497,1.511304,1.137167,1.411153,1.487943,1.229084,1.500267
56,0.155556,-0.692924,0.380819,0.378625,0.481120,1.511203,1.105772,1.539555,1.537791,0.979179,1.581823,1.389520,1.152726,1.514118,,,,1.526509,1.002106,1.453369,1.411399,1.016598,1.557973,,,,1.489865,1.211540,1.618919,1.607752,1.195633,1.523855,1.510822,1.137212,1.411228,1.487145,1.229145,1.500213
57,0.158333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.161111,-0.694186,0.378465,0.378199,0.481493,1.509661,1.105809,1.539704,1.536404,0.979068,1.582010,1.388085,1.152471,1.513766,,,,1.525754,1.002250,1.453594,1.409969,1.016375,1.557629,,,,1.487503,1.211520,1.618881,1.605949,1.195985,1.524461,1.509825,1.137314,1.411348,1.485000,1.229091,1.500448
59,0.163889,-0.695378,0.377145,0.377849,0.481082,1.508808,1.105803,1.539683,1.535627,0.979053,1.582125,1.386494,1.152122,1.513504,,,,1.525345,1.002312,1.453624,1.409415,1.016320,1.557477,,,,1.486641,1.211426,1.618846,1.605295,1.196390,1.524500,1.509301,1.137351,1.411404,1.484217,1.228486,1.500327
60,0.166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.169444,-0.696447,0.375463,0.376065,0.482249,1.507115,1.105702,1.539857,1.534132,0.979100,1.582348,1.384961,1.151731,1.512924,,,,1.524205,1.002393,1.453747,1.407728,1.016148,1.557159,,,,1.484748,1.211315,1.618976,1.603486,1.196177,1.525326,1.508174,1.137405,1.411623,1.482757,1.228532,1.500416
62,0.172222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
